sample,time,code,chan,trialIdx,trialRawTmin.sample,trialRawTmin.time,trialRawT0.sample,trialRawT0.time,trialRawTmax.sample,trialRawTmax.time
8503,8.0029296875,112,-1,22,406762,397.228515625,407070,397.529296875,420382,410.529296875
9299,8.7802734375,350,0,22,406762,397.228515625,407070,397.529296875,420382,410.529296875
9517,8.9931640625,101,-1,22,406762,397.228515625,407070,397.529296875,420382,410.529296875
9584,9.05859375,351,0,22,406762,397.228515625,407070,397.529296875,420382,410.529296875
308,0.0,12,-1,23,424309,414.3642578125,424617,414.6650390625,437929,427.6650390625
1332,1.0,1,-1,23,424309,414.3642578125,424617,414.6650390625,437929,427.6650390625
6997,6.5322265625,350,0,23,424309,414.3642578125,424617,414.6650390625,437929,427.6650390625
7026,6.560546875,351,0,23,424309,414.3642578125,424617,414.6650390625,437929,427.6650390625
8503,8.0029296875,112,-1,23,424309,414.3642578125,424617,414.6650390625,437929,427.6650390625
8896,8.38671875,350,0,23,424309,414.3642578125,424617,414.6650390625,437929,427.6650390625
9114,8.599609375,101,-1,23,424309,414.3642578125,424617,414.6650390625,437929,427.6650390625
9130,8.615234375,351,0,23,424309,414.3642578125,424617,414.6650390625,437929,427.6650390625
308,0.0,15,-1,24,441454,431.107421875,441762,431.408203125,455074,444.408203125
1330,0.998046875,1,-1,24,441454,431.107421875,441762,431.408203125,455074,444.408203125
1754,1.412109375,350,1,24,441454,431.107421875,441762,431.408203125,455074,444.408203125
1844,1.5,351,1,24,441454,431.107421875,441762,431.408203125,455074,444.408203125
1993,1.6455078125,350,1,24,441454,431.107421875,441762,431.408203125,455074,444.408203125
2038,1.689453125,351,1,24,441454,431.107421875,441762,431.408203125,455074,444.408203125
3309,2.9306640625,350,0,24,441454,431.107421875,441762,431.408203125,455074,444.408203125
3451,3.0693359375,351,0,24,441454,431.107421875,441762,431.408203125,455074,444.408203125
3663,3.2763671875,350,0,24,441454,431.107421875,441762,431.408203125,455074,444.408203125
3712,3.32421875,351,0,24,441454,431.107421875,441762,431.408203125,455074,444.408203125
