sample,time,code,chan,trialIdx
1508168,1472.8203125,351,1,74
1508269,1472.9189453125,350,1,74
1508349,1472.9970703125,351,1,74
1508379,1473.0263671875,350,1,74
1508415,1473.0615234375,351,1,74
1508439,1473.0849609375,350,1,74
1508621,1473.2626953125,103,-1,74
1508650,1473.291015625,351,1,74
1521068,1485.41796875,13,-1,75
1522093,1486.4189453125,1,-1,75
1523106,1487.408203125,350,1,75
1523165,1487.4658203125,351,1,75
1523193,1487.4931640625,350,1,75
1523229,1487.5283203125,351,1,75
1526413,1490.6376953125,350,1,75
1526491,1490.7138671875,351,1,75
1529263,1493.4208984375,113,-1,75
1529798,1493.943359375,350,0,75
1529857,1494.0009765625,351,0,75
1529901,1494.0439453125,350,0,75
1529915,1494.0576171875,351,0,75
1529938,1494.080078125,350,0,75
1530167,1494.3037109375,101,-1,75
1530203,1494.3388671875,351,0,75
1542598,1506.443359375,16,-1,76
1543622,1507.443359375,1,-1,76
1544576,1508.375,350,1,76
1544629,1508.4267578125,351,1,76
1544724,1508.51953125,350,1,76
1544822,1508.615234375,351,1,76
1544938,1508.728515625,350,1,76
1545026,1508.814453125,351,1,76
1550793,1514.4462890625,116,-1,76
1551031,1514.6787109375,350,1,76
1551128,1514.7734375,351,1,76
1551192,1514.8359375,350,1,76
1551260,1514.90234375,351,1,76
1551334,1514.974609375,350,1,76
1551503,1515.1396484375,103,-1,76
1551552,1515.1875,351,1,76
1563944,1527.2890625,13,-1,77
1564966,1528.287109375,1,-1,77
1565377,1528.6884765625,350,1,77
1565460,1528.76953125,351,1,77
1566416,1529.703125,350,1,77
1566474,1529.759765625,351,1,77
1567610,1530.869140625,350,0,77
1567682,1530.939453125,351,0,77
1568724,1531.95703125,350,1,77
1568773,1532.0048828125,351,1,77
